Date,pos,neg,neutral,compound
2008/8/8,0.0095636,0.18484,0.8056,-0.39263
2008/8/11,0.12282,0.1434,0.73382,0.031124
2008/8/12,0.0456,0.20089,0.75369,-0.32799
2008/8/13,0.048509,0.24338,0.70815,-0.40715
2008/8/14,0.14622,0.20527,0.64851,-0.20229
2008/8/15,0.13265,0.17209,0.69549,-0.02436
2008/8/18,0.055418,0.24344,0.70111,-0.32163
2008/8/19,0.015873,0.28585,0.69827,-0.49346
2008/8/20,0.025436,0.10458,0.86998,-0.2175
2008/8/21,0.059018,0.24336,0.69773,-0.34624
2008/8/22,0.11465,0.1196,0.76569,-0.053355
2008/8/25,0.0248,0.29536,0.67973,-0.58603
2008/8/26,0.053709,0.26011,0.68609,-0.37244
2008/8/27,0.027091,0.20053,0.77238,-0.36164
2008/8/28,0.13678,0.15265,0.71065,-0.11229
2008/8/29,0.029109,0.10678,0.86411,-0.1636
2008/9/2,0.031636,0.27816,0.6902,-0.34191
2008/9/3,0.058455,0.097091,0.84445,-3.09E-05
2008/9/4,0.066418,0.26991,0.66367,-0.35684
2008/9/5,0.044109,0.16175,0.79418,-0.34514
2008/9/8,0.049,0.3258,0.62505,-0.51584
2008/9/9,0.10385,0.17705,0.71909,-0.15908
2008/9/10,0,0.31713,0.68287,-0.53213
2008/9/11,0.033455,0.19667,0.76969,-0.26365
2008/9/12,0.020745,0.11556,0.86384,-0.1759
2008/9/15,0.050527,0.23935,0.71013,-0.35447
2008/9/16,0.0264,0.23384,0.73976,-0.42352
2008/9/17,0.036309,0.22311,0.74053,-0.20609
2008/9/18,0.021945,0.3358,0.64225,-0.3866
2008/9/19,0.021636,0.2756,0.70269,-0.39853
2008/9/22,0.024364,0.13436,0.84113,-0.26812
2008/9/23,0.063964,0.14715,0.78889,-0.22275
2008/9/24,0.012382,0.19953,0.78809,-0.36334
2008/9/25,0.012509,0.17589,0.8116,-0.26349
2008/9/26,0.038,0.095255,0.86675,0.0090618
2008/9/29,0.030436,0.21367,0.75587,-0.45331
2008/9/30,0.097436,0.13482,0.76775,-0.051644
2008/10/1,0.15484,0.22215,0.62296,-0.094829
2008/10/2,0.091145,0.17922,0.72955,-0.19757
2008/10/3,0.0097273,0.22935,0.76093,-0.37814
2008/10/6,0.095382,0.12291,0.78176,0.041451
2008/10/7,0.10316,0.16404,0.73264,-0.10731
2008/10/8,0.097236,0.17651,0.72635,-0.030644
2008/10/9,0.053164,0.19407,0.75276,-0.40581
2008/10/10,0.10718,0.15049,0.74233,-0.14215
2008/10/13,0.18251,0.14182,0.67567,0.057833
2008/10/14,0.058691,0.1932,0.74798,-0.27255
2008/10/15,0.073273,0.17064,0.75635,-0.12582
2008/10/16,0.057436,0.097018,0.84555,-0.098949
2008/10/17,0.070055,0.10449,0.82545,-0.12198
2008/10/20,0.21965,0.1356,0.64478,0.17385
2008/10/21,0.172,0.21024,0.61758,-0.13302
2008/10/22,0.057018,0.055764,0.88722,-0.06356
2008/10/23,0.1188,0.21578,0.66542,-0.09346
2008/10/24,0.039655,0.27336,0.68696,-0.40136
2008/10/27,0.14005,0.16073,0.69904,-0.13016
2008/10/28,0.019327,0.30224,0.67851,-0.56859
2008/10/29,0.10398,0.21525,0.6806,-0.24493
2008/10/30,0.086982,0.16269,0.75022,-0.1982
2008/10/31,0.034091,0.21976,0.74615,-0.29429
2008/11/3,0.070564,0.11165,0.81778,-0.11658
2008/11/4,0.16185,0.11425,0.72382,0.030105
2008/11/5,0.13018,0.15858,0.7112,-0.10391
2008/11/6,0.044255,0.23771,0.71804,-0.34867
2008/11/7,0.084055,0.099891,0.81607,-0.011942
2008/11/10,0.096436,0.25384,0.64989,-0.32947
2008/11/11,0.10015,0.20742,0.6926,-0.28692
2008/11/12,0.013636,0.22784,0.75853,-0.42945
2008/11/13,0.13167,0.0522,0.81613,0.12817
2008/11/14,0.13135,0.082509,0.78615,0.0851
2008/11/17,0.032145,0.12202,0.84584,-0.11612
2008/11/18,0.017836,0.22438,0.75778,-0.36817
2008/11/19,0.068182,0.10858,0.82324,-0.095193
2008/11/20,0.040145,0.11475,0.84511,-0.18095
2008/11/21,0.042382,0.21691,0.74071,-0.36051
2008/11/24,0.080945,0.14304,0.77584,-0.15369
2008/11/25,0.11898,0.10045,0.78065,-0.085631
2008/11/26,0.0056364,0.15604,0.83833,-0.2535
2008/11/28,0.15687,0.10682,0.73642,0.016282
2008/12/1,0.012236,0.17996,0.8078,-0.29295
2008/12/2,0.075436,0.22625,0.69842,-0.42425
2008/12/3,0.16771,0.17471,0.65758,-0.093089
2008/12/4,0.098745,0.19478,0.70656,-0.12844
2008/12/5,0.039455,0.25304,0.70773,-0.50432
2008/12/8,0.11616,0.066291,0.8176,0.067611
2008/12/9,0.11265,0.11405,0.77331,-0.046411
2008/12/10,0.087327,0.28453,0.62815,-0.48519
2008/12/11,0.094255,0.064309,0.84144,0.075184
2008/12/12,0.024055,0.37013,0.60584,-0.64033
2008/12/15,0.073909,0.087255,0.83884,-0.13608
2008/12/16,0.022473,0.19235,0.78518,-0.38533
2008/12/17,0.11522,0.33422,0.55073,-0.42561
2008/12/18,0.066418,0.16789,0.76569,-0.18672
2008/12/19,0.047655,0.21791,0.73444,-0.42969
2008/12/22,0.055018,0.33905,0.60593,-0.5794
2008/12/23,0.067327,0.20062,0.73193,-0.25212
2008/12/24,0.099364,0.13376,0.76687,-0.056624
2008/12/26,0.039727,0.24502,0.71538,-0.45748
2008/12/29,0.057582,0.21722,0.7252,-0.28841
2008/12/30,0.084055,0.16753,0.74869,-0.31652
2008/12/31,0.0316,0.20778,0.76062,-0.33465
2009/1/2,0.10907,0.19284,0.69825,-0.1224
2009/1/5,0,0.24902,0.75098,-0.44551
2009/1/6,0.10231,0.17415,0.72355,-0.10867
2009/1/7,0.0084,0.16295,0.82865,-0.30389
2009/1/8,0,0.21029,0.78971,-0.36479
2009/1/9,0.0076364,0.15267,0.83982,-0.22791
2009/1/12,0.059291,0.13856,0.80215,-0.34904
2009/1/13,0.070291,0.15249,0.77722,-0.21067
2009/1/14,0.023545,0.26395,0.71264,-0.41163
2009/1/15,0.0498,0.17353,0.77667,-0.27299
2009/1/16,0.058436,0.21687,0.72478,-0.2969
2009/1/20,0.033618,0.38305,0.58351,-0.64137
2009/1/21,0.088509,0.2142,0.69733,-0.33706
2009/1/22,0.058291,0.15213,0.7894,-0.19188
2009/1/23,0.071655,0.20409,0.72427,-0.32956
2009/1/26,0.10075,0.21007,0.68904,-0.25688
2009/1/27,0.099564,0.1368,0.76364,-0.20294
2009/1/28,0.015618,0.13913,0.84525,-0.22966
2009/1/29,0.074545,0.085273,0.84018,0.023773
2009/1/30,0.015582,0.17558,0.80884,-0.29286
2009/2/2,0.11884,0.12796,0.7532,0.059542
2009/2/3,0.046655,0.18238,0.77096,-0.38395
2009/2/4,0.058218,0.1626,0.77918,-0.26502
2009/2/5,0.086236,0.20047,0.71329,-0.1413
2009/2/6,0.058145,0.093727,0.84802,-0.089024
2009/2/9,0.020345,0.19518,0.78435,-0.3884
2009/2/10,0.10136,0.25785,0.64107,-0.37527
2009/2/11,0.072473,0.14733,0.7802,-0.086476
2009/2/12,0.017273,0.13273,0.85,-0.27107
2009/2/13,0.032255,0.20564,0.76211,-0.47446
2009/2/17,0.032218,0.1938,0.77395,-0.28051
2009/2/18,0.087182,0.17444,0.73855,-0.22193
2009/2/19,0.10873,0.17484,0.71644,-0.0942
2009/2/20,0.041091,0.26218,0.69673,-0.3159
2009/2/23,0.092764,0.18498,0.72225,-0.055178
2009/2/24,0.10625,0.16576,0.72798,-0.1585
2009/2/25,0.084545,0.099036,0.81642,-0.10236
2009/2/26,0.097091,0.12736,0.77542,-0.075551
2009/2/27,0.043509,0.15324,0.80325,-0.32033
2009/3/2,0.050364,0.2042,0.74544,-0.14676
2009/3/3,0.092636,0.28105,0.62631,-0.41983
2009/3/4,0.12207,0.23465,0.64313,-0.39043
2009/3/5,0.10133,0.17865,0.71996,-0.20977
2009/3/6,0.0478,0.30545,0.64675,-0.57335
2009/3/9,0.082109,0.083145,0.83482,0.076493
2009/3/10,0.020182,0.19627,0.78355,-0.35978
2009/3/11,0.069855,0.30704,0.62311,-0.39153
2009/3/12,0.0192,0.25802,0.72278,-0.50293
2009/3/13,0.098473,0.19282,0.70867,-0.28838
2009/3/16,0.069527,0.17624,0.75424,-0.29633
2009/3/17,0.050618,0.24609,0.70329,-0.39419
2009/3/18,0.032691,0.25593,0.71118,-0.37593
2009/3/19,0.025855,0.25151,0.72276,-0.53037
2009/3/20,0.037345,0.22933,0.73331,-0.37539
2009/3/23,0.11149,0.209,0.67949,-0.23055
2009/3/24,0.059855,0.1782,0.76191,-0.30529
2009/3/25,0.0198,0.2926,0.6876,-0.47507
2009/3/26,0.061145,0.28007,0.65862,-0.52519
2009/3/27,0.061527,0.23027,0.7082,-0.40428
2009/3/30,0.0092727,0.11964,0.87109,-0.33711
2009/3/31,0.0052182,0.23691,0.75787,-0.43883
2009/4/1,0.085127,0.043945,0.87093,0.050004
2009/4/2,0.12025,0.10927,0.77047,-0.084455
2009/4/3,0.047055,0.10036,0.85265,-0.050342
2009/4/6,0.054255,0.13595,0.8098,-0.16851
2009/4/7,0.063218,0.2022,0.73447,-0.33286
2009/4/8,0.094091,0.085291,0.82071,0.059356
2009/4/9,0.020873,0.24135,0.73778,-0.36544
2009/4/13,0.079036,0.21825,0.70271,-0.33332
2009/4/14,0.019273,0.11993,0.8608,-0.29567
2009/4/15,0.0082364,0.15964,0.83211,-0.30248
