Date,pos,neg,neutral,compound,pos',neg',neutral',compound'
2008/8/8,0.03636,0.21636,0.74724,-0.365216,,,,
2008/8/11,0.0754,0.1898,0.73488,-0.161536,0.03904,-0.02656,-0.01236,0.20368
2008/8/12,0.05908,0.17504,0.76584,-0.241532,-0.01632,-0.01476,0.03096,-0.079996
2008/8/13,0.058,0.15856,0.78348,-0.155804,-0.00108,-0.01648,0.01764,0.085728
2008/8/14,0.09232,0.19188,0.71576,-0.176548,0.03432,0.03332,-0.06772,-0.020744
2008/8/15,0.09008,0.17156,0.73848,-0.137756,-0.00224,-0.02032,0.02272,0.038792
2008/8/18,0.042,0.16352,0.79444,-0.2142,-0.04808,-0.00804,0.05596,-0.076444
2008/8/19,0.04684,0.18964,0.76348,-0.280764,0.00484,0.02612,-0.03096,-0.066564
2008/8/20,0.03384,0.17536,0.7908,-0.248228,-0.013,-0.01428,0.02732,0.032536
2008/8/21,0.04676,0.24132,0.71196,-0.309208,0.01292,0.06596,-0.07884,-0.06098
2008/8/22,0.0942,0.13768,0.76808,-0.082176,0.04744,-0.10364,0.05612,0.227032
2008/8/25,0.01292,0.2732,0.7138,-0.424844,-0.08128,0.13552,-0.05428,-0.342668
2008/8/26,0.07536,0.2996,0.62504,-0.31194,0.06244,0.0264,-0.08876,0.112904
2008/8/27,0.05704,0.16816,0.7748,-0.214812,-0.01832,-0.13144,0.14976,0.097128
2008/8/28,0.121,0.16172,0.71732,-0.092788,0.06396,-0.00644,-0.05748,0.122024
2008/8/29,0.07644,0.12712,0.79644,-0.10684,-0.04456,-0.0346,0.07912,-0.014052
2008/9/2,0.05092,0.25508,0.69404,-0.310864,-0.02552,0.12796,-0.1024,-0.204024
2008/9/3,0.05556,0.15836,0.78608,-0.154856,0.00464,-0.09672,0.09204,0.156008
2008/9/4,0.09036,0.21512,0.69448,-0.185832,0.0348,0.05676,-0.0916,-0.030976
2008/9/5,0.07336,0.18676,0.73996,-0.255892,-0.017,-0.02836,0.04548,-0.07006
2008/9/8,0.03844,0.23064,0.73088,-0.339516,-0.03492,0.04388,-0.00908,-0.083624
2008/9/9,0.05264,0.19412,0.75328,-0.281364,0.0142,-0.03652,0.0224,0.058152
2008/9/10,0.04456,0.21476,0.74068,-0.304908,-0.00808,0.02064,-0.0126,-0.023544
2008/9/11,0.04216,0.17324,0.78456,-0.166008,-0.0024,-0.04152,0.04388,0.1389
2008/9/12,0.04672,0.1702,0.78308,-0.18552,0.00456,-0.00304,-0.00148,-0.019512
2008/9/15,0.08188,0.19844,0.71964,-0.218304,0.03516,0.02824,-0.06344,-0.032784
2008/9/16,0.0524,0.2306,0.71696,-0.356356,-0.02948,0.03216,-0.00268,-0.138052
2008/9/17,0.036,0.19036,0.77364,-0.23088,-0.0164,-0.04024,0.05668,0.125476
2008/9/18,0.01916,0.2384,0.74244,-0.335052,-0.01684,0.04804,-0.0312,-0.104172
2008/9/19,0.03312,0.2208,0.746,-0.293256,0.01396,-0.0176,0.00356,0.041796
2008/9/22,0.05756,0.18476,0.75764,-0.257444,0.02444,-0.03604,0.01164,0.035812
2008/9/23,0.07708,0.17292,0.75,-0.183952,0.01952,-0.01184,-0.00764,0.073492
2008/9/24,0.02528,0.22176,0.75296,-0.29406,-0.0518,0.04884,0.00296,-0.110108
2008/9/25,0.00344,0.16256,0.834,-0.239816,-0.02184,-0.0592,0.08104,0.054244
2008/9/26,0.01744,0.20752,0.77504,-0.250364,0.014,0.04496,-0.05896,-0.010548
2008/9/29,0.0844,0.12316,0.7924,-0.117364,0.06696,-0.08436,0.01736,0.133
2008/9/30,0.10204,0.2064,0.69156,-0.143556,0.01764,0.08324,-0.10084,-0.026192
2008/10/1,0.10068,0.21916,0.68008,-0.231704,-0.00136,0.01276,-0.01148,-0.088148
2008/10/2,0.07948,0.1722,0.74828,-0.194548,-0.0212,-0.04696,0.0682,0.037156
2008/10/3,0.04396,0.15612,0.79992,-0.190156,-0.03552,-0.01608,0.05164,0.004392
2008/10/6,0.09196,0.13512,0.77296,-0.069476,0.048,-0.021,-0.02696,0.12068
2008/10/7,0.07324,0.19108,0.7356,-0.20324,-0.01872,0.05596,-0.03736,-0.133764
2008/10/8,0.06952,0.20504,0.72544,-0.268408,-0.00372,0.01396,-0.01016,-0.065168
2008/10/9,0.03336,0.22052,0.74612,-0.329772,-0.03616,0.01548,0.02068,-0.061364
2008/10/10,0.05988,0.16224,0.77788,-0.206464,0.02652,-0.05828,0.03176,0.123308
2008/10/13,0.10832,0.1496,0.74208,-0.079224,0.04844,-0.01264,-0.0358,0.12724
2008/10/14,0.05516,0.16712,0.77764,-0.235964,-0.05316,0.01752,0.03556,-0.15674
2008/10/15,0.06404,0.1534,0.78264,-0.201476,0.00888,-0.01372,0.005,0.034488
2008/10/16,0.10944,0.15756,0.73296,-0.079928,0.0454,0.00416,-0.04968,0.121548
2008/10/17,0.05616,0.19704,0.7468,-0.25268,-0.05328,0.03948,0.01384,-0.172752
2008/10/20,0.11756,0.17268,0.70976,-0.107752,0.0614,-0.02436,-0.03704,0.144928
2008/10/21,0.10092,0.18584,0.7132,-0.168284,-0.01664,0.01316,0.00344,-0.060532
2008/10/22,0.06728,0.138,0.79476,-0.172792,-0.03364,-0.04784,0.08156,-0.004508
2008/10/23,0.05592,0.2104,0.73368,-0.194568,-0.01136,0.0724,-0.06108,-0.021776
2008/10/24,0.05428,0.2496,0.69612,-0.343648,-0.00164,0.0392,-0.03756,-0.14908
2008/10/27,0.07916,0.19684,0.72396,-0.216904,0.02488,-0.05276,0.02784,0.126744
2008/10/28,0.06828,0.1918,0.73996,-0.238556,-0.01088,-0.00504,0.016,-0.021652
2008/10/29,0.08076,0.23232,0.68688,-0.259468,0.01248,0.04052,-0.05308,-0.020912
2008/10/30,0.05384,0.23636,0.70976,-0.339012,-0.02692,0.00404,0.02288,-0.079544
2008/10/31,0.11336,0.25996,0.6268,-0.195104,0.05952,0.0236,-0.08296,0.143908
2008/11/3,0.05344,0.1972,0.7494,-0.296792,-0.05992,-0.06276,0.1226,-0.101688
2008/11/4,0.09164,0.16392,0.74444,-0.17214,0.0382,-0.03328,-0.00496,0.124652
2008/11/5,0.09348,0.17872,0.72776,-0.145892,0.00184,0.0148,-0.01668,0.026248
2008/11/6,0.05792,0.18632,0.75576,-0.23382,-0.03556,0.0076,0.028,-0.087928
2008/11/7,0.04048,0.18036,0.7792,-0.228072,-0.01744,-0.00596,0.02344,0.005748
2008/11/10,0.0688,0.2274,0.70388,-0.276848,0.02832,0.04704,-0.07532,-0.048776
2008/11/11,0.0686,0.23464,0.69684,-0.342008,-0.0002,0.00724,-0.00704,-0.06516
2008/11/12,0.0172,0.23652,0.74628,-0.371368,-0.0514,0.00188,0.04944,-0.02936
2008/11/13,0.072,0.1686,0.7594,-0.145144,0.0548,-0.06792,0.01312,0.226224
2008/11/14,0.07264,0.11912,0.80828,-0.121856,0.00064,-0.04948,0.04888,0.023288
2008/11/17,0.02964,0.11572,0.8546,-0.129672,-0.043,-0.0034,0.04632,-0.007816
2008/11/18,0.05388,0.21056,0.73552,-0.279248,0.02424,0.09484,-0.11908,-0.149576
2008/11/19,0.12504,0.11108,0.76388,0.009356,0.07116,-0.09948,0.02836,0.288604
2008/11/20,0.07344,0.1316,0.79496,-0.074028,-0.0516,0.02052,0.03108,-0.083384
2008/11/21,0.0562,0.15212,0.79168,-0.234296,-0.01724,0.02052,-0.00328,-0.160268
2008/11/24,0.05528,0.18448,0.7602,-0.202808,-0.00092,0.03236,-0.03148,0.031488
2008/11/25,0.04996,0.1966,0.75348,-0.243892,-0.00532,0.01212,-0.00672,-0.041084
2008/11/26,0.07068,0.1838,0.74552,-0.206868,0.02072,-0.0128,-0.00796,0.037024
2008/11/28,0.07128,0.16396,0.7648,-0.186792,0.0006,-0.01984,0.01928,0.020076
2008/12/1,0.09164,0.17348,0.73492,-0.12888,0.02036,0.00952,-0.02988,0.057912
2008/12/2,0.08164,0.21032,0.70812,-0.257292,-0.01,0.03684,-0.0268,-0.128412
2008/12/3,0.09052,0.16444,0.74504,-0.224044,0.00888,-0.04588,0.03692,0.033248
