Date,posTop1,negTop1,neuTop1,comTop1,posTop2,negTop2,neuTop2,comTop2,posTop3,negTop3,neuTop3,comTop3,posTop4,negTop4,neuTop4,comTop4,posTop5,negTop5,neuTop5,comTop5,posTop6,negTop6,neuTop6,comTop6,posTop7,negTop7,neuTop7,comTop7,posTop8,negTop8,neuTop8,comTop8,posTop9,negTop9,neuTop9,comTop9,posTop10,negTop10,neuTop10,comTop10,posTop11,negTop11,neuTop11,comTop11,posTop12,negTop12,neuTop12,comTop12,posTop13,negTop13,neuTop13,comTop13,posTop14,negTop14,neuTop14,comTop14,posTop15,negTop15,neuTop15,comTop15,posTop16,negTop16,neuTop16,comTop16,posTop17,negTop17,neuTop17,comTop17,posTop18,negTop18,neuTop18,comTop18,posTop19,negTop19,neuTop19,comTop19,posTop20,negTop20,neuTop20,comTop20,posTop21,negTop21,neuTop21,comTop21,posTop22,negTop22,neuTop22,comTop22,posTop23,negTop23,neuTop23,comTop23,posTop24,negTop24,neuTop24,comTop24,posTop25,negTop25,neuTop25,comTop25
2008/8/8,0,0.262,0.738,-0.5994,0,0,1,0,0,0.172,0.828,-0.3612,0,0.247,0.753,-0.7089,0,0.439,0.561,-0.926,0,0,1,0,0,0.149,0.851,-0.2732,0.106,0.111,0.783,0.2144,0.104,0.26,0.636,-0.5719,0,0.358,0.642,-0.5994,0,0.261,0.739,-0.6486,0,0.147,0.853,-0.2263,0.05,0.204,0.746,-0.7645,0,0,1,0,0,0.438,0.562,-0.5994,0,0.196,0.804,-0.5994,0,0,1,0,0.097,0.162,0.741,-0.3125,0.128,0.092,0.78,0.2023,0.121,0.117,0.762,0.0258,0,0.351,0.649,-0.7579,0,0.406,0.594,-0.6249,0,0.14,0.86,-0.2755,0,0.65,0.35,-0.8519,0.303,0.247,0.449,0.128
2008/8/11,0.323,0,0.677,0.7964,0,0.277,0.723,-0.3182,0.209,0,0.791,0.4404,0.149,0.24,0.611,-0.1965,0,0,1,0,0,0.225,0.775,-0.4939,0,0.32,0.68,-0.5106,0.126,0.141,0.733,-0.0772,0.216,0.281,0.504,-0.2263,0,0.324,0.676,-0.34,0,0,1,0,0.43,0,0.57,0.7783,0,0,1,0,0,0.14,0.86,-0.3818,0,0.113,0.887,-0.1027,0,0.239,0.761,-0.296,0,0.178,0.822,-0.3804,0,0.391,0.609,-0.8271,0,0,1,0,0,0.494,0.506,-0.5994,0,0.643,0.357,-0.802,0.169,0.169,0.663,0,0,0.247,0.753,-0.3182,0.263,0.323,0.414,-0.1832,0,0,1,0
2008/8/12,0.166,0.161,0.674,0.0258,0,0,1,0,0,0.497,0.503,-0.7845,0.092,0.228,0.68,-0.6124,0,0,1,0,0,0.343,0.657,-0.6908,0,0.302,0.698,-0.5994,0,0.14,0.86,-0.5994,0.102,0,0.898,0.34,0,0.524,0.476,-0.765,0,0.295,0.705,-0.7964,0,0.225,0.775,-0.4404,0,0.268,0.732,-0.8591,0,0,1,0,0.474,0,0.526,0.5423,0,0,1,0,0,0,1,0,0.169,0.209,0.621,0.0772,0,0.394,0.606,-0.5994,0.127,0.278,0.595,-0.5859,0,0.438,0.562,-0.5994,0.207,0,0.793,0.5267,0.14,0.074,0.785,0.3818,0,0,1,0,0,0,1,0
2008/8/13,0,0.545,0.455,-0.7184,0,0.249,0.751,-0.8074,0.12,0.417,0.463,-0.6369,0,0.167,0.833,-0.4215,0,0.17,0.83,-0.5106,0,0,1,0,0.264,0,0.736,0.5106,0,0,1,0,0.187,0.085,0.729,0.3612,0.278,0,0.722,0.4019,0.153,0,0.847,0.4019,0,0.244,0.756,-0.2263,0.049,0.086,0.865,-0.25,0,0.216,0.784,-0.296,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.368,0.632,-0.5423,0.157,0.169,0.674,-0.0258,0,0.355,0.645,-0.296,0.242,0,0.758,0.4939,0,0.485,0.515,-0.5719,0,0.177,0.823,-0.4215,0,0.231,0.769,-0.34
2008/8/14,0.184,0,0.816,0.2023,0,0.328,0.672,-0.5994,0.384,0,0.616,0.6808,0,0.45,0.55,-0.8689,0.094,0.281,0.625,-0.6124,0.122,0.346,0.532,-0.6369,0.489,0,0.511,0.6908,0,0.231,0.769,-0.4404,0,0.412,0.588,-0.6808,0,0.255,0.745,-0.34,0,0,1,0,0,0,1,0,0.247,0,0.753,0.5574,0.191,0.098,0.71,0.1779,0,0,1,0,0,0.406,0.594,-0.6249,0,0,1,0,0,0.302,0.698,-0.7579,0,0.247,0.753,-0.3182,0,0,1,0,0,0.293,0.707,-0.4404,0,0.394,0.606,-0.5994,0.248,0.181,0.571,0.1779,0,0.573,0.427,-0.6908,0.349,0,0.651,0.7096
2008/8/15,0,0.315,0.685,-0.7481,0.381,0,0.619,0.5719,0.178,0.156,0.667,0.4215,0.132,0,0.868,0.4404,0,0.315,0.685,-0.3182,0,0.312,0.688,-0.7096,0.246,0.17,0.585,0.3182,0,0.255,0.745,-0.4767,0.189,0,0.811,0.1027,0.157,0.172,0.672,-0.0516,0,0.078,0.922,-0.3182,0.091,0.117,0.792,0.024,0.117,0.144,0.739,0.09,0,0.275,0.725,-0.2263,0,0.326,0.674,-0.4404,0.086,0.159,0.755,-0.3291,0,0.18,0.82,-0.296,0,0,1,0,0.12,0.417,0.463,-0.6369,0.198,0.263,0.539,-0.2732,0.357,0,0.643,0.4173,0,0.396,0.604,-0.7096,0,0.239,0.761,-0.296,0,0,1,0,0,0,1,0
2008/8/18,0.043,0.489,0.468,-0.9246,0.278,0,0.722,0.4023,0,0.419,0.581,-0.3818,0,0,1,0,0,0.448,0.552,-0.7579,0,0,1,0,0,0.245,0.755,-0.3818,0,0.263,0.737,-0.3612,0.058,0.345,0.596,-0.926,0,0,1,0,0.158,0,0.842,0.128,0.086,0.44,0.474,-0.802,0,0,1,0,0,0.358,0.642,-0.5994,0.216,0,0.784,0.5106,0,0,1,0,0,0,1,0,0,0.474,0.526,-0.743,0,0,1,0,0,0,1,0,0,0,1,0,0,0.196,0.804,-0.296,0,0.091,0.909,-0.0516,0.211,0,0.789,0.34,0,0.32,0.68,-0.5106
2008/8/19,0,0.348,0.652,-0.7906,0.097,0,0.903,0.1027,0,0.478,0.522,-0.6705,0,0.474,0.526,-0.6705,0,0.341,0.659,-0.4767,0,0,1,0,0,0.288,0.712,-0.872,0,0.402,0.598,-0.6908,0,0.348,0.652,-0.8402,0,0,1,0,0,0,1,0,0,0.299,0.701,-0.5719,0,0.187,0.813,-0.3182,0.147,0,0.853,0.2263,0,0.18,0.82,-0.0258,0.147,0.239,0.613,-0.3612,0.434,0,0.566,0.5574,0,0,1,0,0,0,1,0,0,0.316,0.684,-0.8074,0,0.439,0.561,-0.6908,0.346,0,0.654,0.5719,0,0.402,0.598,-0.6908,0,0,1,0,0,0,1,0
2008/8/20,0,0.114,0.886,-0.2732,0.086,0.18,0.734,-0.4767,0,0.302,0.698,-0.8316,0,0,1,0,0,0,1,0,0.125,0,0.875,0.4588,0,0,1,0,0,0.135,0.865,-0.1027,0,0,1,0,0,0.171,0.829,-0.2732,0,0,1,0,0,0.495,0.505,-0.5994,0,0.671,0.329,-0.8807,0.094,0.332,0.574,-0.836,0.182,0.255,0.563,-0.1779,0,0,1,0,0,0.139,0.861,-0.2732,0,0.262,0.738,-0.6833,0,0,1,0,0,0.438,0.562,-0.5994,0.16,0.274,0.566,-0.296,0,0.154,0.846,-0.25,0,0.263,0.737,-0.3612,0.199,0.199,0.602,0.25,0,0,1,0
2008/8/21,0.211,0.263,0.526,-0.3182,0,0.36,0.64,-0.6705,0,0,1,0,0,0.487,0.513,-0.5859,0.142,0.123,0.736,-0.0772,0,0.362,0.638,-0.5267,0,0.125,0.875,-0.25,0,0.262,0.738,-0.4939,0.142,0.071,0.787,0.2263,0,0.13,0.87,-0.5994,0,0.394,0.606,-0.5994,0,0,1,0,0,0.701,0.299,-0.8934,0,0.439,0.561,-0.6908,0,0,1,0,0,0.452,0.548,-0.5106,0.061,0.127,0.812,-0.3182,0.197,0.211,0.592,-0.0516,0.239,0,0.761,0.5719,0,0,1,0,0,0.649,0.351,-0.9022,0.177,0,0.823,0.4215,0,0.245,0.755,-0.5994,0,0.632,0.368,-0.8625,0,0,1,0
2008/8/22,0.091,0,0.909,0.3612,0.067,0,0.933,0.2716,0.088,0.191,0.721,-0.6486,0.306,0,0.694,0.296,0.238,0.3,0.462,-0.2023,0,0.31,0.69,-0.4019,0,0.181,0.819,-0.4767,0.173,0.112,0.714,0.296,0,0.32,0.68,-0.816,0,0,1,0,0,0,1,0,0,0.263,0.737,-0.6124,0,0,1,0,0.176,0,0.824,0.4588,0.296,0,0.704,0.6369,0,0.252,0.748,-0.4019,0,0.467,0.533,-0.5423,0.231,0,0.769,0.2732,0.252,0,0.748,0.4019,0,0.522,0.478,-0.8979,0,0,1,0,0,0.524,0.476,-0.5267,0,0,1,0,0,0,1,0,0.437,0,0.563,0.4767
2008/8/25,0,0.286,0.714,-0.5574,0,0.398,0.602,-0.5106,0.091,0.252,0.657,-0.7978,0,0.314,0.686,-0.7506,0.106,0.17,0.723,-0.3612,0,0.335,0.665,-0.8769,0,0.457,0.543,-0.6369,0,0.194,0.806,-0.34,0,0.242,0.758,-0.1531,0,0,1,0,0,0,1,0,0,0,1,0,0,0.524,0.476,-0.5106,0,0.254,0.746,-0.5267,0,0,1,0,0,0,1,0,0,0.536,0.464,-0.7865,0,0.341,0.659,-0.4767,0,0,1,0,0,0,1,0,0.126,0.505,0.368,-0.802,0,0.588,0.412,-0.6908,0,0.681,0.319,-0.7506,0,0.54,0.46,-0.6908,0,0.213,0.787,-0.4019
2008/8/26,0,0.346,0.654,-0.8126,0,0.381,0.619,-0.6486,0,0.091,0.909,-0.128,0,0.326,0.674,-0.743,0.312,0.128,0.56,0.5106,0.148,0.247,0.604,-0.4215,0,0,1,0,0,0.636,0.364,-0.5423,0.171,0,0.829,0.5423,0,0.496,0.504,-0.7096,0,0.367,0.633,-0.4404,0,0,1,0,0,0,1,0,0.237,0,0.763,0.4215,0,0.5,0.5,-0.4588,0.08,0.064,0.856,-0.128,0.125,0.399,0.476,-0.6808,0,0.588,0.412,-0.8402,0,0.636,0.364,-0.5423,0.248,0.352,0.4,-0.3182,0.305,0.164,0.531,0.4939,0,0.315,0.685,-0.3182,0,0.519,0.481,-0.6597,0,0.505,0.495,-0.8807,0.258,0.43,0.313,-0.4939
2008/8/27,0,0.31,0.69,-0.6705,0,0.273,0.727,-0.4588,0.045,0.125,0.83,-0.5106,0,0,1,0,0,0.369,0.631,-0.6249,0.124,0,0.876,0.34,0,0.279,0.721,-0.4767,0,0.266,0.734,-0.4404,0.255,0.172,0.573,0.1531,0,0,1,0,0,0.192,0.808,-0.7506,0.13,0.119,0.751,0.0772,0,0,1,0,0,0.318,0.682,-0.4215,0,0.393,0.607,-0.8658,0.474,0,0.526,0.4019,0,0.32,0.68,-0.5106,0,0,1,0,0,0.324,0.676,-0.34,0,0.359,0.641,-0.4215,0,0.385,0.615,-0.3612,0,0,1,0,0.398,0,0.602,0.5106,0,0,1,0,0,0,1,0
2008/8/28,0.185,0.267,0.548,-0.296,0,0.223,0.777,-0.3182,0.123,0,0.877,0.2732,0.259,0,0.741,0.1027,0,0.235,0.765,-0.6808,0.199,0.287,0.515,-0.296,0.239,0.164,0.597,0.25,0,0,1,0,0.275,0.109,0.616,0.3612,0.375,0,0.625,0.5859,0.412,0,0.588,0.4215,0,0,1,0,0,0,1,0,0.268,0,0.732,0.296,0,0.346,0.654,-0.6486,0.32,0.268,0.412,0.128,0,0,1,0,0,0.519,0.481,-0.6597,0,0.326,0.674,-0.4404,0,0.417,0.583,-0.5106,0,0,1,0,0,0,1,0,0.37,0,0.63,0.4466,0,0.328,0.672,-0.5994,0,0.554,0.446,-0.7351
2008/8/29,0,0.27,0.73,-0.6486,0,0,1,0,0,0.1,0.9,-0.2732,0,0,1,0,0.103,0,0.897,0.34,0.169,0.196,0.635,-0.128,0,0,1,0,0,0,1,0,0,0.577,0.423,-0.6249,0.138,0.239,0.623,-0.4767,0,0,1,0,0.317,0.365,0.317,-0.0772,0,0,1,0,0,0,1,0,0.278,0,0.722,0.4019,0.187,0.374,0.44,-0.4019,0,0,1,0,0,0.39,0.61,-0.4939,0,0,1,0,0.238,0,0.762,0.3612,0.223,0,0.777,0.3182,0.258,0.227,0.515,0.0772,0,0,1,0,0,0.217,0.783,-0.7269,0,0.223,0.777,-0.3182
2008/9/2,0,0.508,0.492,-0.9081,0,0.146,0.854,-0.5574,0.126,0,0.874,0.3182,0,0.434,0.566,-0.3182,0,0.342,0.658,-0.3818,0,0,1,0,0,0.706,0.294,-0.802,0.244,0.116,0.64,0.4939,0,0.266,0.734,-0.4404,0,0.111,0.889,-0.128,0.141,0.153,0.706,-0.0516,0,0.4,0.6,-0.6124,0,0,1,0,0.138,0.144,0.718,-0.0258,0,0.151,0.849,-0.1531,0,0.302,0.698,-0.3818,0,0.35,0.65,-0.9186,0.205,0.481,0.315,-0.6447,0.419,0,0.581,0.5574,0,0.705,0.295,-0.9493,0,0.29,0.71,-0.891,0,0.222,0.778,-0.25,0,0,1,0,0,0,1,0,0,0.55,0.45,-0.7269
2008/9/3,0,0,1,0,0,0,1,0,0.202,0,0.798,0.6486,0,0,1,0,0.201,0.128,0.671,0.2732,0,0.577,0.423,-0.8481,0,0,1,0,0.131,0.263,0.606,-0.1531,0,0.256,0.744,-0.7351,0,0.386,0.614,-0.6597,0,0.429,0.571,-0.6705,0,0,1,0,0,0.296,0.704,-0.743,0,0.34,0.66,-0.5574,0,0,1,0,0.191,0,0.809,0.3818,0,0.51,0.49,-0.6326,0,0.259,0.741,-0.4215,0.351,0,0.649,0.4019,0,0.515,0.485,-0.6486,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.313,0,0.687,0.4927
2008/9/4,0.13,0,0.87,0.34,0,0.213,0.787,-0.5859,0.105,0.117,0.778,-0.1027,0,0.452,0.548,-0.5106,0.096,0.337,0.567,-0.7791,0.168,0.58,0.252,-0.7096,0,0.343,0.657,-0.5719,0,0.516,0.484,-0.4939,0,0.493,0.507,-0.8934,0.097,0,0.903,0.4215,0,0,1,0,0,0.241,0.759,-0.2263,0,0,1,0,0,0.221,0.779,-0.1779,0.412,0,0.588,0.5423,0,0,1,0,0.125,0,0.875,0.4588,0,0.493,0.507,-0.8934,0.18,0.293,0.526,-0.3612,0.42,0,0.58,0.7003,0.333,0,0.667,0.3612,0,0,1,0,0,0.483,0.517,-0.6808,0.193,0.164,0.643,0.1027,0,0.432,0.568,-0.5859
