Date,pos,neg,neutral,compound
2008-08-08,0.03636,0.21636,0.74724,-0.365216
2008-08-11,0.0754,0.1898,0.73488,-0.161536
2008-08-12,0.05908,0.17504,0.76584,-0.241532
2008-08-13,0.058,0.15856,0.78348,-0.155804
2008-08-14,0.09232,0.19188,0.71576,-0.176548
2008-08-15,0.09008,0.17156,0.73848,-0.137756
2008-08-18,0.042,0.16352,0.79444,-0.2142
2008-08-19,0.04684,0.18964,0.76348,-0.280764
2008-08-20,0.03384,0.17536,0.7908,-0.248228
2008-08-21,0.04676,0.24132,0.71196,-0.309208
2008-08-22,0.0942,0.13768,0.76808,-0.082176
2008-08-25,0.01292,0.2732,0.7138,-0.424844
2008-08-26,0.07536,0.2996,0.62504,-0.31194
2008-08-27,0.05704,0.16816,0.7748,-0.214812
2008-08-28,0.121,0.16172,0.71732,-0.092788
2008-08-29,0.07644,0.12712,0.79644,-0.10684
2008-09-02,0.05092,0.25508,0.69404,-0.310864
2008-09-03,0.05556,0.15836,0.78608,-0.154856
2008-09-04,0.09036,0.21512,0.69448,-0.185832
2008-09-05,0.07336,0.18676,0.73996,-0.255892
2008-09-08,0.03844,0.23064,0.73088,-0.339516
2008-09-09,0.05264,0.19412,0.75328,-0.281364
2008-09-10,0.04456,0.21476,0.74068,-0.304908
2008-09-11,0.04216,0.17324,0.78456,-0.166008
2008-09-12,0.04672,0.1702,0.78308,-0.18552
2008-09-15,0.08188,0.19844,0.71964,-0.218304
2008-09-16,0.0524,0.2306,0.71696,-0.356356
2008-09-17,0.036,0.19036,0.77364,-0.23088
2008-09-18,0.01916,0.2384,0.74244,-0.335052
2008-09-19,0.03312,0.2208,0.746,-0.293256
2008-09-22,0.05756,0.18476,0.75764,-0.257444
2008-09-23,0.07708,0.17292,0.75,-0.183952
2008-09-24,0.02528,0.22176,0.75296,-0.29406
2008-09-25,0.00344,0.16256,0.834,-0.239816
2008-09-26,0.01744,0.20752,0.77504,-0.250364
2008-09-29,0.0844,0.12316,0.7924,-0.117364
2008-09-30,0.10204,0.2064,0.69156,-0.143556
2008-10-01,0.10068,0.21916,0.68008,-0.231704
2008-10-02,0.07948,0.1722,0.74828,-0.194548
2008-10-03,0.04396,0.15612,0.79992,-0.190156
2008-10-06,0.09196,0.13512,0.77296,-0.069476
2008-10-07,0.07324,0.19108,0.7356,-0.20324
2008-10-08,0.06952,0.20504,0.72544,-0.268408
2008-10-09,0.03336,0.22052,0.74612,-0.329772
2008-10-10,0.05988,0.16224,0.77788,-0.206464
2008-10-13,0.10832,0.1496,0.74208,-0.079224
2008-10-14,0.05516,0.16712,0.77764,-0.235964
2008-10-15,0.06404,0.1534,0.78264,-0.201476
2008-10-16,0.10944,0.15756,0.73296,-0.079928
2008-10-17,0.05616,0.19704,0.7468,-0.25268
2008-10-20,0.11756,0.17268,0.70976,-0.107752
2008-10-21,0.10092,0.18584,0.7132,-0.168284
2008-10-22,0.06728,0.138,0.79476,-0.172792
2008-10-23,0.05592,0.2104,0.73368,-0.194568
2008-10-24,0.05428,0.2496,0.69612,-0.343648
2008-10-27,0.07916,0.19684,0.72396,-0.216904
2008-10-28,0.06828,0.1918,0.73996,-0.238556
2008-10-29,0.08076,0.23232,0.68688,-0.259468
2008-10-30,0.05384,0.23636,0.70976,-0.339012
2008-10-31,0.11336,0.25996,0.6268,-0.195104
2008-11-03,0.05344,0.1972,0.7494,-0.296792
2008-11-04,0.09164,0.16392,0.74444,-0.17214
2008-11-05,0.09348,0.17872,0.72776,-0.145892
2008-11-06,0.05792,0.18632,0.75576,-0.23382
2008-11-07,0.04048,0.18036,0.7792,-0.228072
2008-11-10,0.0688,0.2274,0.70388,-0.276848
2008-11-11,0.0686,0.23464,0.69684,-0.342008
2008-11-12,0.0172,0.23652,0.74628,-0.371368
2008-11-13,0.072,0.1686,0.7594,-0.145144
2008-11-14,0.07264,0.11912,0.80828,-0.121856
2008-11-17,0.02964,0.11572,0.8546,-0.129672
2008-11-18,0.05388,0.21056,0.73552,-0.279248
2008-11-19,0.12504,0.11108,0.76388,0.009356
2008-11-20,0.07344,0.1316,0.79496,-0.074028
2008-11-21,0.0562,0.15212,0.79168,-0.234296
2008-11-24,0.05528,0.18448,0.7602,-0.202808
2008-11-25,0.04996,0.1966,0.75348,-0.243892
2008-11-26,0.07068,0.1838,0.74552,-0.206868
2008-11-28,0.07128,0.16396,0.7648,-0.186792
2008-12-01,0.09164,0.17348,0.73492,-0.12888
2008-12-02,0.08164,0.21032,0.70812,-0.257292
2008-12-03,0.09052,0.16444,0.74504,-0.224044
2008-12-04,0.12676,0.20556,0.66772,-0.13886
2008-12-05,0.06168,0.239,0.6994,-0.343252
2008-12-08,0.07868,0.1726,0.74876,-0.144744
2008-12-09,0.08896,0.23884,0.67224,-0.249804
2008-12-10,0.09536,0.22676,0.67788,-0.267072
2008-12-11,0.05396,0.16464,0.7814,-0.197744
2008-12-12,0.02496,0.29696,0.67812,-0.440624
2008-12-15,0.06912,0.10644,0.82448,-0.094584
2008-12-16,0.05572,0.147,0.79732,-0.214028
2008-12-17,0.09628,0.1712,0.73256,-0.123736
2008-12-18,0.04684,0.17908,0.77416,-0.23638
2008-12-19,0.03244,0.18468,0.78288,-0.271144
2008-12-22,0.0582,0.24096,0.70088,-0.342864
2008-12-23,0.08212,0.15044,0.7674,-0.122276
2008-12-24,0.11168,0.17304,0.71524,-0.106632
2008-12-26,0.06148,0.17212,0.76648,-0.207448
2008-12-29,0.0806,0.22368,0.69572,-0.201116
2008-12-30,0.08828,0.20356,0.70824,-0.257392
2008-12-31,0.05828,0.18776,0.754,-0.229708
2009-01-02,0.05124,0.19952,0.74928,-0.206272
2009-01-05,0.0484,0.20864,0.74296,-0.308148
2009-01-06,0.07588,0.1568,0.76728,-0.132604
2009-01-07,0.04668,0.18928,0.764,-0.3368
2009-01-08,0.03672,0.20616,0.75712,-0.339096
2009-01-09,0.03356,0.17668,0.78988,-0.27966
2009-01-12,0.06944,0.1562,0.77436,-0.216992
2009-01-13,0.05,0.18604,0.764,-0.266792
2009-01-14,0.057,0.18504,0.758,-0.273112
2009-01-15,0.05656,0.14512,0.79828,-0.163512
2009-01-16,0.03876,0.25156,0.70964,-0.433824
2009-01-20,0.048,0.28096,0.67112,-0.422932
2009-01-21,0.06924,0.19132,0.7394,-0.280396
2009-01-22,0.03772,0.19308,0.76912,-0.239216
2009-01-23,0.07972,0.20728,0.713,-0.220736
2009-01-26,0.06492,0.21924,0.7158,-0.29638
2009-01-27,0.06988,0.18968,0.7404,-0.268368
2009-01-28,0.06288,0.19376,0.74336,-0.222288
2009-01-29,0.04852,0.1362,0.81528,-0.148988
2009-01-30,0.0546,0.16548,0.77992,-0.235576
2009-02-02,0.07964,0.1532,0.7672,-0.118992
2009-02-03,0.04268,0.18712,0.77016,-0.29778
2009-02-04,0.06812,0.19516,0.73672,-0.235616
2009-02-05,0.09584,0.17044,0.73376,-0.09934
2009-02-06,0.05896,0.15468,0.78632,-0.196356
2009-02-09,0.02672,0.20992,0.76328,-0.345492
2009-02-10,0.06904,0.22672,0.70436,-0.284832
2009-02-11,0.074,0.17824,0.74768,-0.244792
2009-02-12,0.05356,0.17008,0.77644,-0.240084
2009-02-13,0.05404,0.17056,0.7754,-0.222336
2009-02-17,0.02744,0.19392,0.77856,-0.290588
2009-02-18,0.09764,0.15252,0.74988,-0.139664
2009-02-19,0.07392,0.19408,0.732,-0.190804
2009-02-20,0.05276,0.24748,0.69972,-0.284288
2009-02-23,0.0522,0.18764,0.7602,-0.259276
2009-02-24,0.09276,0.17964,0.7276,-0.158032
2009-02-25,0.06136,0.17716,0.76156,-0.287948
2009-02-26,0.07468,0.15104,0.77424,-0.162836
2009-02-27,0.05452,0.16544,0.78004,-0.223044
2009-03-02,0.0546,0.17448,0.77096,-0.184456
2009-03-03,0.0666,0.17248,0.76092,-0.243072
2009-03-04,0.08084,0.2476,0.67156,-0.345128
2009-03-05,0.06744,0.16144,0.77112,-0.244876
2009-03-06,0.05932,0.20712,0.7336,-0.303992
2009-03-09,0.09084,0.16928,0.73992,-0.102452
2009-03-10,0.06836,0.15044,0.78116,-0.173352
2009-03-11,0.03792,0.30884,0.65316,-0.438168
2009-03-12,0.06372,0.1934,0.74284,-0.280244
2009-03-13,0.053,0.15736,0.7896,-0.220628
2009-03-16,0.07784,0.14476,0.77744,-0.191472
2009-03-17,0.04212,0.2548,0.70308,-0.381584
2009-03-18,0.04748,0.22336,0.72908,-0.3317
2009-03-19,0.0756,0.22908,0.69536,-0.330976
2009-03-20,0.0352,0.21076,0.754,-0.3837
2009-03-23,0.06132,0.20892,0.72976,-0.234924
